log_id,user_id,query_category,query_content,query_time
5063,2039,统计,哪位老师关联的开课实例最多,2025-09-19 11:06:00
5064,2044,统计,查询日志里课程类查询占比高吗,2025-09-19 11:41:00
5065,2013,其他,校园百事通支持模糊搜索吗,2025-09-19 13:05:00
5066,2014,其他,搜索结果可以按校区排序吗,2025-09-19 13:22:00
5067,2015,其他,课程和活动信息更新频率是多少,2025-09-19 13:47:00
5068,2019,其他,系统能不能显示地图位置,2025-09-19 14:12:00
5069,2023,其他,活动详情页有没有联系人信息,2025-09-19 14:39:00
5070,2027,其他,图书馆设施支持收藏吗,2025-09-19 15:06:00
5071,2032,其他,可以同时搜索课程和活动吗,2025-09-19 15:28:00
5072,2047,其他,系统后续会加校车信息吗,2025-09-19 15:55:00
5073,2001,课程,数据库系统春季学期还开吗,2025-09-20 08:11:00
5074,2002,课程,高等数学A 春季安排在哪个校区,2025-09-20 08:42:00
5075,2003,活动,英语角秋季专场需要预约吗,2025-09-20 09:07:00
5076,2004,活动,新闻写作训练营还有名额吗,2025-09-20 09:31:00
5077,2005,课程,宏观经济学是不是在江湾第一教学楼报告厅,2025-09-20 10:02:00
5078,2006,教师,孙嘉禾老师本学期教管理学原理吗,2025-09-20 10:24:00
5079,2007,活动,智能材料与未来能源创新学院实验室安全培训适合大一学生吗,2025-09-20 10:56:00
5080,2008,课程,伦理学导论用的是研讨室吗,2025-09-20 11:18:00
5081,2009,活动,模拟法庭训练营持续多久,2025-09-20 11:47:00
5082,2010,课程,公共政策分析是不是周五也有课,2025-09-20 13:09:00
5083,2011,活动,护理技能工作坊的地点是不是实验室,2025-09-20 13:33:00
5084,2012,课程,集成电路概论春季在哪间实验室,2025-09-20 14:05:00
5085,2013,设施,张江学生事务大厅下午几点关闭,2025-09-20 14:27:00
5086,2014,设施,创新交流空间适合小组讨论吗,2025-09-20 14:58:00
5087,2015,建筑,南区学生服务中心里有哪些服务设施,2025-09-20 15:21:00
5088,2016,校区,枫林校区有没有适合跑步的场地,2025-09-20 15:46:00
5089,2017,课程,程序设计基础在哪个教室,2025-09-20 16:10:00
5090,2018,课程,人工智能导论有没有联合授课老师,2025-09-20 16:37:00
5091,2019,教师,周文博老师除了英语课还参与什么课程,2025-09-20 17:05:00
5092,2020,活动,文科图书馆夜读计划在哪个阅览室,2025-09-21 08:16:00
5093,2021,用户,我怎么查看自己是不是已签到,2025-09-21 08:43:00
5094,2022,统计,活动取消和缺席的比例高吗,2025-09-21 09:08:00
5095,2023,课程,COMP130012.01 每周几上课,2025-09-21 09:37:00
5096,2024,活动,信息科学与工程创新学院开放实验室日是谁主办的,2025-09-21 10:02:00
5097,2025,设施,文科图书馆参考阅览室能不能讨论,2025-09-21 10:31:00
5098,2026,建筑,张江教学楼A楼里有没有报告厅,2025-09-21 10:58:00
5099,2027,课程,公共政策分析在哪个房间上课,2025-09-21 11:23:00
5100,2028,活动,枫林校区健康跑集合地点在哪,2025-09-21 11:49:00
